Ad Headline,Creative Type,Target Audience,Predicted CTR (%),Predicted Conversions
Mega Clearance Sale,Image,Women ,3.3579999999999965,138.85
Exclusive Offer Inside,Carousel,All ,4.004000000000006,203.65
Shop the Festive Vibes,Image,Families ,3.4979999999999967,154.45
Trending Now â€“ Limited Stock,Video,Men ,2.9189999999999996,107.35
Best Deals of the Season,Image,All ,3.874000000000003,193.65
Smart Shopping Starts Here,Video,Women ,2.8220000000000005,102.5
Flash Friday Discounts,Carousel,Men ,3.576000000000002,152.85
Style Upgrade Essentials,Image,Women ,3.4079999999999973,140.75
Biggest Winter Clearance,Video,All ,3.3480000000000025,160.0
New Styles Just Dropped,Carousel,Men ,3.503000000000002,145.1
